크로스워크,학제,수요,대졸직종_배출%,대졸직종_수요%,ρ,격차_경영·사무·금융·보험,격차_연구·공학기술,격차_교육·법률·사회복지·경찰·소방,격차_보건·의료,격차_예술·디자인·방송·스포츠,격차_미용·여행·숙박·음식·경비·돌봄·청소,격차_영업·판매·운전·운송,격차_건설·채굴,격차_설치·정비·생산,격차_농림어업,배율
언어→0 / 인문→2 / 생활→5,4년제만,민간(크롤링),43.695,28.254,-0.564,4.458,13.415,6.496,-4.47,7.445,-13.422,-6.605,1.006,-8.544,0.221,1.546
언어→0 / 인문→2 / 생활→5,전문대만,공공(고용24),51.347,13.723,-0.661,3.936,8.639,3.424,25.561,15.829,-38.026,-4.685,-2.202,-11.422,-1.054,3.742
언어→0 / 인문→2 / 생활→5,전문대만,민간(크롤링),51.347,28.254,-0.661,-8.955,2.832,5.3,14.961,13.106,-9.095,-9.574,0.04,-8.557,-0.056,1.817
언어→2 / 인문→0 / 생활→0,전체,공공(고용24),48.295,13.723,-0.624,15.195,16.713,7.6,10.259,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.519
언어→2 / 인문→0 / 생활→0,전체,민간(크롤링),48.295,28.254,-0.624,2.303,10.906,9.476,-0.341,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.709
언어→2 / 인문→0 / 생활→0,4년제만,공공(고용24),46.952,13.723,-0.648,16.614,19.222,7.877,6.129,10.168,-44.873,-1.715,-1.236,-11.41,-0.777,3.421
언어→2 / 인문→0 / 생활→0,4년제만,민간(크롤링),46.952,28.254,-0.648,3.722,13.415,9.753,-4.47,7.445,-15.943,-6.605,1.006,-8.544,0.221,1.662
언어→2 / 인문→0 / 생활→0,전문대만,공공(고용24),50.814,13.723,-0.758,11.316,8.639,2.892,25.561,15.829,-44.873,-4.685,-2.202,-11.422,-1.054,3.703
언어→2 / 인문→0 / 생활→0,전문대만,민간(크롤링),50.814,28.254,-0.758,-1.575,2.832,4.767,14.961,13.106,-15.943,-9.574,0.04,-8.557,-0.056,1.798
언어→2 / 인문→0 / 생활→3,전체,공공(고용24),51.73,13.723,-0.673,11.759,16.713,7.6,13.694,11.292,-44.873,-2.403,-1.458,-11.483,-0.842,3.77
언어→2 / 인문→0 / 생활→3,전체,민간(크롤링),51.73,28.254,-0.673,-1.132,10.906,9.476,3.095,8.569,-15.943,-7.292,0.784,-8.617,0.156,1.831
