연월,산업,시도,값
2025-08,"전문, 과학 및 기술 서비스업",강원도,139
2025-08,"전문, 과학 및 기술 서비스업",충청북도,74
2025-08,"전문, 과학 및 기술 서비스업",충청남도,556
2025-08,"전문, 과학 및 기술 서비스업",전라북도,135
2025-08,"전문, 과학 및 기술 서비스업",전라남도,284
2025-08,"전문, 과학 및 기술 서비스업",경상북도,324
2025-08,"전문, 과학 및 기술 서비스업",경상남도,363
2025-08,"전문, 과학 및 기술 서비스업",제주도,56
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",전 체,15705
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",서울,6938
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",부산,823
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",대구,499
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",인천,656
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",광주,186
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",대전,589
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",울산,143
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",세종시,17
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",경기도,3417
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",강원도,295
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",충청북도,396
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",충청남도,193
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",전라북도,346
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",전라남도,157
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",경상북도,336
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",경상남도,647
2025-08,"사업시설 관리, 사업 지원 및 임대 서비스업",제주도,67
2025-08,"공공행정, 국방 및 사회보장 행정",전 체,4563
2025-08,"공공행정, 국방 및 사회보장 행정",서울,703
2025-08,"공공행정, 국방 및 사회보장 행정",부산,413
2025-08,"공공행정, 국방 및 사회보장 행정",대구,562
2025-08,"공공행정, 국방 및 사회보장 행정",인천,150
2025-08,"공공행정, 국방 및 사회보장 행정",광주,32
2025-08,"공공행정, 국방 및 사회보장 행정",대전,22
2025-08,"공공행정, 국방 및 사회보장 행정",울산,22
2025-08,"공공행정, 국방 및 사회보장 행정",세종시,12
2025-08,"공공행정, 국방 및 사회보장 행정",경기도,857
2025-08,"공공행정, 국방 및 사회보장 행정",강원도,176
2025-08,"공공행정, 국방 및 사회보장 행정",충청북도,120
2025-08,"공공행정, 국방 및 사회보장 행정",충청남도,84
2025-08,"공공행정, 국방 및 사회보장 행정",전라북도,717
2025-08,"공공행정, 국방 및 사회보장 행정",전라남도,376
2025-08,"공공행정, 국방 및 사회보장 행정",경상북도,206
2025-08,"공공행정, 국방 및 사회보장 행정",경상남도,81
2025-08,"공공행정, 국방 및 사회보장 행정",제주도,30
2025-08,교육 서비스업,전 체,2741
2025-08,교육 서비스업,서울,532
2025-08,교육 서비스업,부산,167
2025-08,교육 서비스업,대구,166
2025-08,교육 서비스업,인천,91
2025-08,교육 서비스업,광주,92
2025-08,교육 서비스업,대전,92
2025-08,교육 서비스업,울산,53
2025-08,교육 서비스업,세종시,13
2025-08,교육 서비스업,경기도,428
2025-08,교육 서비스업,강원도,130
2025-08,교육 서비스업,충청북도,63
2025-08,교육 서비스업,충청남도,112
2025-08,교육 서비스업,전라북도,213
2025-08,교육 서비스업,전라남도,165
2025-08,교육 서비스업,경상북도,232
2025-08,교육 서비스업,경상남도,156
2025-08,교육 서비스업,제주도,36
2025-08,보건업 및 사회복지 서비스업,전 체,38660
2025-08,보건업 및 사회복지 서비스업,서울,5771
2025-08,보건업 및 사회복지 서비스업,부산,3913
2025-08,보건업 및 사회복지 서비스업,대구,2456
2025-08,보건업 및 사회복지 서비스업,인천,3225
2025-08,보건업 및 사회복지 서비스업,광주,549
