직종코드,직종명,대분류코드,대분류명,부산공고수
024302,머천다이저(MD),0,경영·사무·금융·보험,44
026501,총무 및 일반 사무원,0,경영·사무·금융·보험,43
232903,장애인 생활지도원(장애인활동보조원 포함),2,교육·법률·사회복지·경찰·소방·군인,43
304002,일반 간호사,3,보건·의료,42
028408,물류 사무원(물류 관리사),0,경영·사무·금융·보험,38
531803,병원 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,37
532202,일반 음식점 접객서빙원,5,미용·여행·숙박·음식·경비·돌봄·청소,35
611000,부동산 컨설턴트 및 중개사,6,영업·판매·운전·운송,35
623004,지게차 운전원,6,영업·판매·운전·운송,35
821200,금속가공 기계 조작원,8,설치·정비·생산,35
890001,기계·금속 분야 단순 종사원,8,설치·정비·생산,35
813202,범용 선반 조작원,8,설치·정비·생산,32
813200,금속 공작기계 조작원,8,설치·정비·생산,31
541300,시설 및 특수 경비원,5,미용·여행·숙박·음식·경비·돌봄·청소,30
026202,영업 기획·관리·지원 사무원,0,경영·사무·금융·보험,29
561100,건물 청소원,5,미용·여행·숙박·음식·경비·돌봄·청소,29
028302,수상 운송 사무원(해상 운송),0,경영·사무·금융·보험,28
307300,안경사,3,보건·의료,28
158102,소방시설·설비 시공 기술자,1,연구·공학기술,27
231400,직업 관련 상담사,2,교육·법률·사회복지·경찰·소방·군인,27
133101,시스템 소프트웨어 개발자(프로그래머),1,연구·공학기술,26
136200,웹 운영자(홈페이지 관리자),1,연구·공학기술,26
415501,웹 디자이너,4,예술·디자인·방송·스포츠,26
532302,단체 급식 보조원,5,미용·여행·숙박·음식·경비·돌봄·청소,26
614000,텔레마케터,6,영업·판매·운전·운송,26
029104,데스크 안내원,0,경영·사무·금융·보험,23
411100,작가,4,예술·디자인·방송·스포츠,23
531800,단체급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,23
415400,시각 디자이너,4,예술·디자인·방송·스포츠,22
028407,창고 관리원(자재 검수원 포함),0,경영·사무·금융·보험,21
031500,손해 사정사,0,경영·사무·금융·보험,21
222001,"법률 사무원(법원, 로펌, 법무사무소 등)",2,교육·법률·사회복지·경찰·소방·군인,21
027100,회계 사무원,0,경영·사무·금융·보험,20
028500,생산 및 품질관리 사무원,0,경영·사무·금융·보험,20
029203,고객 상담원(학원·학습지·유학·이민),0,경영·사무·금융·보험,20
159101,건축 제도사(캐드원),1,연구·공학기술,20
303100,약사,3,보건·의료,20
028508,품질관리 사무원(기계·자동차·금속),0,경영·사무·금융·보험,19
307100,"응급 구조사(인명구조원, 119구조대원 포함)",3,보건·의료,19
542001,아파트·빌라 경비원,5,미용·여행·숙박·음식·경비·돌봄·청소,19
026201,마케팅·광고·홍보·상품기획 사무원,0,경영·사무·금융·보험,18
511900,"기타 미용 관련 서비스 종사원(패션코디, 이미지컨설턴트 등)",5,미용·여행·숙박·음식·경비·돌봄·청소,18
029103,호텔·콘도·숙박시설 프론트 사무원,0,경영·사무·금융·보험,17
306502,작업치료사,3,보건·의료,17
307700,수의사 보조원,3,보건·의료,17
531802,유치원·어린이집 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,17
026100,경영 기획 사무원,0,경영·사무·금융·보험,16
033201,보험 대리인 및 중개인,0,경영·사무·금융·보험,16
532300,주방 보조원,5,미용·여행·숙박·음식·경비·돌봄·청소,16
564300,주차 관리원 및 안내원,5,미용·여행·숙박·음식·경비·돌봄·청소,16
836000,전기‧전자 부품 및 제품 조립원,8,설치·정비·생산,16
214201,국어 강사,2,교육·법률·사회복지·경찰·소방·군인,15
415402,책·인쇄물·출판 디자이너,4,예술·디자인·방송·스포츠,15
028502,생산관리 사무원(기계·자동차·금속),0,경영·사무·금융·보험,14
420403,헬스 트레이너,4,예술·디자인·방송·스포츠,14
816100,일반기계 조립원,8,설치·정비·생산,14
151100,기계공학 기술자 및 연구원,1,연구·공학기술,13
153105,전기공사 기술자(전기견적 포함),1,연구·공학기술,13
415301,인테리어 디자이너,4,예술·디자인·방송·스포츠,13
532301,주방 보조원(일반 음식점),5,미용·여행·숙박·음식·경비·돌봄·청소,13
