통합키,정답코드,정답명,예측코드,근거,확실도,매칭토큰,정답13분류,예측13분류,추정코드,추정근거
KR2026090700037398,028504,생산관리 사무원(전기·전자·컴퓨터),0,상위합의,약,품질,01,01,028504,사전(학습) 「배전계획원」 — 정답 3건 중 3건이 028504 생산관리 사무원(전기·전자·컴퓨터)
KR2026090700027979,159104,전기·전자 장비 제도사(캐드원),1,상위합의,약,설계,02,10,,사전(학습) 「선박」 — 정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030077,026502,병원행정 사무원(원무),3,상위합의,약,치과,01,04,307200,사전(수동) 「치과」 — 치과 진료 보조. 치과위생사 계열
KR2026090700029274,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700016653,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700037691,612104,전기·전자장비 기술영업원,6,상위합의,약,영업,07,01,,사전(학습) 「납품」 — 정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700021791,883101,가구 제조원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700037880,531802,유치원·어린이집 급식 조리사,531802,학습사전,중,유치원급식조리사,06,06,,
KR2026090700015973,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700027157,813201,CNC 선반 조작원(NC 선반 조작원),8,상위합의,약,선박,10,10,,사전(학습) 「선박」 — 정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030655,026501,총무 및 일반 사무원,026501,학습사전,중,기업행정사무원,01,01,,
KR2026090700037359,706002,건설·채굴 단순 종사원,5,상위합의,약,청소,09,06,,사전(학습) 「청소」 — 정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700031543,813210,머시닝센터(MCT) 조작원,813210,학습사전,중,머시닝센터,10,10,,
KR2026090700017323,890002,단순 사상원(용접사상 제외-용접원구분),0,상위합의,약,경력직,10,01,,사전(학습) 「고무제품사상원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700022636,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700016969,563200,세탁원 및 다림질원,5,상위합의,약,청소,06,06,,사전(학습) 「청소」 — 정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700031561,159104,전기·전자 장비 제도사(캐드원),1,상위합의,약,설계,02,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700019283,028900,기타 운송 및 무역 사무원,0,상위합의,약,사무,01,01,,사전(학습) 「사무」 — 정답 165건 중 136건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700030443,904200,어부 및 해녀,1,상위합의,약,어업,11,11,,사전(학습) 「어업」 — 정답 8건 중 4건이 11 농림어업직 — 세세분류는 흩어진다
KR2026090700142343,615210,음식료품 판매원,8,상위합의,약,포장,07,06,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700029194,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700016623,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700018888,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700024341,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산,10,10,,사전(학습) 「생산」 — 정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700015942,028508,품질관리 사무원(기계·자동차·금속),028507,별칭일치,강,품질관리사무원,01,01,,
KR2026090700021214,027204,경리 사무원(제조),0,상위합의,약,경영,01,01,890000,사전(수동) 「노무」 — 제조 단순 종사원
KR2026090700037370,027204,경리 사무원(제조),413201,별칭일치,강,사서,01,05,,
KR2026090700020513,158102,소방시설·설비 시공 기술자,158102,학습사전,중,설비기사,02,02,,
