사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
미디어잡,MBC,[상암/4.5일제/자료정리] 데이터정리/인코딩/인제스트/방송자료/메타데이터/OA/모니터링/라벨링,"방송기술, 방송송출, 영상편집, 인제스트/인코딩, 아카이브",경력무관,기타,서울 마포구 성암로 255,,2026-09-07,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325684,,2026-09-07 20:30:47
미디어잡,(주)넥스트챕터,Contents PD,"촬영보조/카메라보조, 동영상 촬영/편집, 디지털마케터, SNS마케터, 브랜드영상PD",경력,정규직,서울 성동구 성수일로 111,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325687,,2026-09-07 20:30:52
미디어잡,(주)스마일게이트,[LOST ARK Mobile] 시나리오기획 담당,"크리에이티브, 시나리오작가, 게임기획, 게임시나리오, 게임디자이너(2D/3D)",경력,정규직,경기 성남시 분당구 판교역로 220,,2026-09-30,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325688,,2026-09-07 20:30:57
미디어잡,JTBC미디어텍,[영상편집/신입O/뉴스] 보도영상 수신·등록 인제스트 모집,"방송편성, 방송제작, 영상편집, 인제스트/인코딩, 동영상 촬영/편집",경력무관,기타,서울 마포구 상암산로 48-6,,2026-09-10,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325696,,2026-09-07 20:31:02
미디어잡,엔픽셀,[이클립스] 전투 밸런스 기획자,"게임기획, 게임개발, 게임운영관리(GM), 게임시나리오, 게임디자이너(2D/3D)",경력,정규직,,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325702,,2026-09-07 20:31:07
미디어잡,㈜라이온하트스튜디오,[오딘Q: 발키리스콜] 애니메이터 모집,"게임개발, 게임디자이너(2D/3D), 그래픽디자이너/CG, 캐릭터/애니메이션, 캐릭터디자이너(2D/3D)",경력,정규직,"대한 민국 경기도 성남시 분당구 내곡로 131, 판교테크원타워",,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325706,,2026-09-07 20:31:12
미디어잡,(주)에고이즘,[바쏠] 브랜드 마케터,"마케팅/프로모션, 디지털마케터, SNS마케터, 퍼포먼스마케터, 브랜드영상PD",경력무관,"정규직, 계약직",서울 성동구 연무장19길 5,,채용시,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325709,,2026-09-07 20:31:17
미디어잡,KBS,"[촬영보조/신입O] 중계현장 카메라 설치, 현장 업무 보조","취재기자, 촬영기자, FD/연출보조, 방송제작, 촬영보조/카메라보조",경력무관,기타,서울 영등포구 여의공원로 13,,2026-09-14,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325714,,2026-09-07 20:31:22
미디어잡,KBS미디어,[웹운영/상암] KBS계열사/야간근무/SNS관리/홈페이지관리/미디어/IT/신입,"영상편집, 인제스트/인코딩, 아카이브, 동영상 촬영/편집, 기타",경력무관,기타,서울 마포구 매봉산로 45,,2026-09-14,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325724,,2026-09-07 20:31:27
미디어잡,가톨릭평화방송,"[편성FD/중구/월225만] TV,라디오 편성관리/신입가능/영상편집/NPS/교양","PD/방송연출, AD/조연출, FD/연출보조, 방송제작, 기타",경력무관,기타,서울 중구 삼일대로 330,,2026-09-14,https://www.mediajob.co.kr/recruit/recruit.htm?cmd=view&rec_idx=325727,,2026-09-07 20:31:32
