사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
자소설닷컴,마이다스그룹,B2B 마케팅 담당자 채용,영업 및 마케팅-B2B 마케팅-판교본사,경력,수시채용,,,2026-04-12,https://jasoseol.com/recruit/103460,,2026-09-07 18:30:03
자소설닷컴,현대모비스,"[로보틱스사업실] 26년 4월 연구직 경력 채용 (Robotics Business Group, Senior-res.)",로보틱스 평가,경력,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103461,,2026-09-07 18:30:04
자소설닷컴,현대모비스,[로보틱스사업실] 26년 4월 관리직 경력채용,로보틱스 PM,경력,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103462,,2026-09-07 18:30:04
자소설닷컴,현대모비스,"[로보틱스사업실] 26년 4월 연구직 경력 채용 (Robotics Business Group, Senior-res.)",로보틱스 기구/시스템설계,경력,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103464,,2026-09-07 18:30:05
자소설닷컴,현대모비스,[로보틱스사업실] 26년 4월 연구직 경력 채용 ,로보틱스 모터설계,경력,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103465,,2026-09-07 18:30:05
자소설닷컴,현대모비스,[로보틱스사업실] 26년 4월 연구직 경력 채용 ,로보틱스 센서설계,경력,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103467,,2026-09-07 18:30:06
자소설닷컴,현대모비스,"[로보틱스사업실] 26년 4월 연구직 경력 채용 (Robotics Business Group, Senior-res.)",로보틱스 회로설계,경력,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103466,,2026-09-07 18:30:06
자소설닷컴,현대모비스,"[로보틱스사업실] 26년 4월 연구직 경력 채용 (Robotics Business Group, Senior-res.)",로봇 시스템 시작개발,경력,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103463,,2026-09-07 18:30:06
자소설닷컴,대학내일ES,마케팅/영상PD/Staff(HRM/재무회계) 신입/경력/인턴,"[대학내일] 영상PD_마케팅커뮤니케이션9팀_인턴(전환형), [대학내일] 마케팅(AE)_마케팅커뮤니케이션9팀_인턴(전환형), [대학내일] 마케팅(AE)_익스피리언스플래닝6팀_경력(계약직), [대학내일] STAFF(재무","경력, 계약직, 신입, 인턴",수시채용,,,2026-04-13,https://jasoseol.com/recruit/103469,,2026-09-07 18:30:07
자소설닷컴,iMBC,"2026년 직원 채용(iOS 앱개발, SNS 운영)","iOS 앱 개발, SNS 운영","경력, 신입",수시채용,,,2026-04-17,https://jasoseol.com/recruit/103468,,2026-09-07 18:30:07
자소설닷컴,한국투자증권,금융·경제 학회/동아리 등록제 시행 안내,금융·경제 학회/동아리 등록제,교육,수시채용,,,2026-04-17,https://jasoseol.com/recruit/103470,,2026-09-07 18:30:08
자소설닷컴,하나증권,투자심사1실 경력직 채용,투자심사1실,계약직,수시채용,,,2026-04-19,https://jasoseol.com/recruit/103471,,2026-09-07 18:30:08
자소설닷컴,한국전시산업진흥회,2026년 상반기 일반직(신입) 채용 공고,"일반직(6직급, 사원)",신입,수시채용,,,2026-04-15,https://jasoseol.com/recruit/103472,,2026-09-07 18:30:08
자소설닷컴,한국국제문화교류진흥원,2026년 제2차 직원 채용,"[경영기획] 경영기획, [경영기획] 전산·정보화 사업 기획·운영, [경영기획] 경영 기획 (휴직대체), [사업 기획·운영] 국제문화교류 사업 기획·운영 A , [사업 기획·운영] 국제문화교류 사업 기획·운영 B, [","계약직, 코드5",수시채용,,,2026-04-21,https://jasoseol.com/recruit/103475,,2026-09-07 18:30:10
자소설닷컴,어니스트리,그로스 마케팅,그로스 마케팅,경력,수시채용,,,2026-04-12,https://jasoseol.com/recruit/103473,,2026-09-07 18:30:10
자소설닷컴,한양증권,디지털사업부 직원 채용 (경력무관),디지털 마케팅 기획/운영,코드5,수시채용,,,2026-04-14,https://jasoseol.com/recruit/103476,,2026-09-07 18:30:10
자소설닷컴,마이다스그룹,기계 SW 구조해석 기술지원 담당자 채용,기술영업/지원 분야-SW 기술영업-남부지사(부산),경력,수시채용,,,2026-04-12,https://jasoseol.com/recruit/103474,,2026-09-07 18:30:10
자소설닷컴,채널A,2026 경력사원(계약직)모집,프로그램 수급 및 편성 제작 지원,계약직,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103477,,2026-09-07 18:30:10
자소설닷컴,카페스,2026년 상반기 밸브팀 엔지니어 신규채용,밸브팀 엔지니어,"경력, 신입",수시채용,,,2026-04-19,https://jasoseol.com/recruit/103478,,2026-09-07 18:30:11
자소설닷컴,경남개발공사,인사총무부,기록물전문요원,경력,수시채용,,,2026-04-15,https://jasoseol.com/recruit/103479,,2026-09-07 18:30:11
자소설닷컴,애경케미칼,각 부문 신입 및 경력 채용,"구매, 해외영업 (가소제), 설비관리 엔지니어, 생산 엔지니어, 법무/컴플라이언스, 국내/해외영업 (윤활기유), 해외영업 (생활화학)","경력, 신입",수시채용,,,2026-04-16,https://jasoseol.com/recruit/103481,,2026-09-07 18:30:12
자소설닷컴,이노션,데이터 엔지니어 (Google Analytics),데이터 엔지니어 (Google Analytics),계약직,수시채용,,,2026-04-26,https://jasoseol.com/recruit/103482,,2026-09-07 18:30:12
자소설닷컴,이노션,자동차 체험 마케팅 기획 및 운영,자동차 체험 마케팅 기획 및 운영,계약직,수시채용,,,2026-04-19,https://jasoseol.com/recruit/103483,,2026-09-07 18:30:12
자소설닷컴,토스플레이스,OB Sales Supporter,OB Sales Supporter,계약직,상시채용,,,2026-04-29,https://jasoseol.com/recruit/103484,,2026-09-07 18:30:13
자소설닷컴,동진쎄미켐,각 부문 인재 채용,"디스플레이 공정 소재 개발_OLED 유기 재료 합성 및 재료 분석, 디스플레이 공정 소재 개발_디스플레이용 감광성 수지 개발 및 연구, 반도체 공정 소재 개발_반도체 공정용 전구체(Precursor) 개발, 반도체 ","경력, 신입, 코드5",수시채용,,,2026-04-16,https://jasoseol.com/recruit/103485,,2026-09-07 18:30:13
자소설닷컴,현대모비스,"[로보틱스사업실] 26년 4월 연구직 신입채용 (Robotics Business Group, entry-res.)",HW-기구_Electric Parts-로보틱스 모터 설계,신입,수시채용,,,2026-04-13,https://jasoseol.com/recruit/103486,,2026-09-07 18:30:13
자소설닷컴,씨엔씨티에너지(충남도시가스),2026년 재무전략팀 전환인턴 채용,재무전략,코드6,수시채용,,,2026-04-19,https://jasoseol.com/recruit/103488,,2026-09-07 18:30:14
자소설닷컴,에코마케팅,"개발자 공개 채용(백엔드, 프론트엔드)","백엔드 개발자, 프론트엔드 개발자","신입, 코드5",수시채용,,,2026-04-19,https://jasoseol.com/recruit/103489,,2026-09-07 18:30:15
