공고URL,모집분야,직무키워드,담당업무,자격요건,우대사항,직급직책,근무형태,근무시간,급여,업종,직종,상세주소,모집인원,학력,수집시각
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54722300,포토그래퍼,,• 웨딩 촬영 현장 보조 및 촬영 (실내/야외 촬영) • 신랑·신부님 케어 • 신랑신부님 짐 정리 및 스타일링 보조 • 어시스턴트 후 메인작가 진급 📋,• 경력 무관 (신입 지원 가능) • 학력무관 •학력/성별 무관 •주말/공휴일 출근 가능자 •포토그래피 또는 웨딩 업계에 관심 있는 분 •책임감 있고 꼼꼼하신 분 •야외 촬영도 부담 없는 분 •사진/영상 관련 전공자 또는 현장 경험자 📋,•사진/영상 관련 전공자 또는 현장 경험자 🏠,,정규직,,면접 후 결정,,,부산 동래구 여고북로73번길 48,2,,2026-09-08 14:10:10
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54760770,[F/O 경력직 1명],,"• 프론트 오피스 전반 운영 및 고객 서비스 관리 • PMS 기반 체크인, 체크아웃, 예약 및 채널(OTA) 운영 관리 • 리셉션, 캐셔, 나이트 오디트 등 프론트 실무 전반 수행 • 고객 클레임 대응 및 현장 운영 이슈 해결 • 하우스키핑(HK) 협업을 통한 객실 상태 및 Turnover 관리 📋",• 경력 (연수 무관) • 고등학교 졸업 이상 • 고객 클레임 대응 및 OTA 클레임을 포함한 현장 운영 이슈 해결 경험 보유자 • 객실 매출 및 ADR 운영 이해 보유자 • 부서 간 협업 및 원활한 커뮤니케이션이 가능한 자 📋,"• Opera, Wings 호텔 PMS 유경험자 • 외국어(영어, 일본어, 중국어 등) 가능자 • 피크타임 현장 운영 및 인차지 수행 경험자 • 객실 Turnover 전 과정에 대한 이해를 기반으로 객실 가용성 및 운영 효율을 관리할 수 있는 역량을 보유한 자 • 레지던스형 호텔 및 외국인 고객 비중 높은 호텔 근무 경험자 🏠",,정규직,,월급 320만원,,,부산 해운대구 구남로18번길 30 라비앙즈 해운대 에비뉴 호텔,,,2026-09-08 14:10:10
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54891007,바리스타,,"음료 제조 및 바리스타 업무 와 손재주만 있으시면 가능한 간단한 베이커리 업무를 병행합니다 . 열정과 성실함 있으시면 초보 가능하니 많은 지원 바랍니다. 근무 일정 주말 (토, 일) 08:00 ~ 15:00 책임감 있고 같이 즐거운 마음으로 일하실 성실하고 밝은 분을 구합니다. 📋",• 경력 무관 (신입 지원 가능) • 학력무관 📋,• 손이 빠르신 분 • 밝은 인사성을 가지신 분 • 장기 근무가 가능하신 분 • 거주지 가 가까우신 분 🏠,,아르바이트,,"시급 10,320원",,,"부산 동래구 충렬대로 420 안락종합타운,다대드라",1,,2026-09-08 14:10:10
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54891001,베이비 연출,,"• 베이비사진 촬영보조 • 고객응대 • 아기랑 놀아주기 아기(50일~돌) 좋아하고 밝은 성격의 소유자면, 초보도 배우면서 할 수 있습니다~ 많은 지원 부탁드려요 ^^ 매주 월,화 휴무 오전10~7시 근무 (점심시간1시간) 📋",• 신입 / 경력 1년 이상 • 학력무관 📋,• 동종 업계 경력자 우대 🏠,,정규직,,면접 후 결정,,,부산 사하구 낙동대로 388 경성리치W상가 4층 베이비파스텔,,,2026-09-08 14:10:11
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54883832,1),,- 온병원 내 안전관리자 업무 담당 - 온병원 일반 민원 업무 담당 - 기타 전반적인 시설 관리 업무 담당 ■,,- 보훈대상자 및 장애인의 경우 관련법에 의하여 우대합니다. - 해당직무 경험자 우대 ■ 온종합병원만의 특별한 직원,,,,,,,,,,2026-09-08 14:10:11
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54890907,물류팀,,• 택배 포장 및 출고 준비 • 식품 소분 및 제품 포장 • 쿠키·정과 생산 보조 • 출고 전 상품 및 수량 검수 • 포장 부자재 재고 파악 및 정리 • 작업장 정리 및 기본 위생 관리 📋,"• 경력 무관 (신입 지원 가능) • 학력무관 엑셀·구글 스프레드시트 등 기본적인 PC 활용이 가능하신 분 동료, 대표와 원활한 소통이 가능하신 분 📋","물류·포장·출고 또는 식품 제조 현장 경험이 있으신 분 일하면서 ""이 순서를 바꾸면 더 편할 텐데"" 하는 생각을 해보신 분 새로운 기계나 도구를 다루는 것이 부담스럽지 않으신 분 🏠",,계약직,,월급 230만원,,,부산 금정구 남산냇길 122,,,2026-09-08 14:10:12
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54890059,파트영어강사,,*초등영어 영어로 수업가능하신분 40분 수업 2개 *담당학생 관리 및 학습상담 *중등내신 가능한분은 내신기간 근무 *9/28일부터 근무시작 📋,• 경력 1년 이상 🏠,,,프리랜서,,면접 후 결정,,,부산 수영구 수영로588번길 7 협성엠파이어2차 201호,1,,2026-09-08 14:10:13
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54887338,수의테크니션(진료보조),,안녕하세요? 저희는 북구 화명동에 위치한 동물의료센터입니다. 더 나은 진료 환경과 직원,• 경력 무관 (신입 지원 가능) • 고등학교졸업이상 📋,"• 보유역량: 인근거주자, 해당직무 근무경험 • 자격증: 동물보건사 🏠",,정규직,,면접 후 결정,,,부산 북구 금곡대로 366 대진빌딩 1층,1,,2026-09-08 14:10:13
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54887934,간호 조무사,,• 피부과 진료 보조 업무를 수행합니다 • 시술 전후 환자 안내를 진행합니다 • 기본 처치 및 소독을 지원합니다 • 의료기기 및 소모품을 관리합니다 • 접수 및 차트 정리를 지원합니다 📋,"• 경력 무관 (신입 지원 가능) • 고등학교졸업이상 • 간호조무사 자격을 보유하신 분 (IV ,IM 가능자 우대) • 환자 응대가 원활하신 분 • 기본 위생수칙 준수 가능하신 분 • 팀 협업과 소통이 원활하신 분 • 성실하게 근무 가능하신 분 📋",• 피부과 진료 보조 경험 있으신 분 • 시술 보조 업무에 익숙하신 분 • EMR 사용 경험을 보유하신 분 • 재고 및 물품관리 경험 있으신 분 • 친절한 서비스 마인드 있으신 분 🏠,,정규직,,월급 세후 240만원 이상 (경력에 따른 차등 지급),,,부산 연제구 좌수영로 241 트레이더스 연산점 미소의원,,,2026-09-08 14:10:13
https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=54870589,,,,,,,정규직,,면접 후 결정,,,"부산 남구 남동천로 128, BIFC2 1215~1217호",,,2026-09-08 14:10:14
