대분류코드,대분류명,중분류코드,소분류코드,직종코드,직종명,부산공고수(자동분류분)
0,경영·사무·금융·보험,03,031,031500,손해 사정사,19
0,경영·사무·금융·보험,03,031,031900,"기타 금융 및 보험 관련 전문가(금융 컨설턴트, PB 등)",10
0,경영·사무·금융·보험,03,032,032100,은행 사무원(출납창구 제외),1
0,경영·사무·금융·보험,03,032,032200,증권 사무원(출납창구 제외),
0,경영·사무·금융·보험,03,032,032300,보험 심사원 및 사무원,10
0,경영·사무·금융·보험,03,032,032400,출납 창구 사무원,
0,경영·사무·금융·보험,03,032,032401,출납창구 사무원(은행·농협·수협·축협),
0,경영·사무·금융·보험,03,032,032402,출납창구 사무원(우체국·새마을금고),
0,경영·사무·금융·보험,03,032,032403,출납창구 사무원(증권 및 기타 금융기관),
0,경영·사무·금융·보험,03,032,032500,수금원 및 신용 추심원,
0,경영·사무·금융·보험,03,032,032501,수금원,
0,경영·사무·금융·보험,03,032,032502,신용 추심원(채권 관리원),3
0,경영·사무·금융·보험,03,032,032503,연체 안내원(체납 고지원),
0,경영·사무·금융·보험,03,032,032900,"기타 금융 사무원(카드사·신협·새마을금고·할부사, 우체국(금융부문) 등)",
0,경영·사무·금융·보험,03,033,033100,대출 및 신용카드 모집인,
0,경영·사무·금융·보험,03,033,033200,보험 모집인 및 투자 권유 대행인,
0,경영·사무·금융·보험,03,033,033201,보험 대리인 및 중개인,16
0,경영·사무·금융·보험,03,033,033203,투자 권유 대행인,
1,연구·공학기술,11,110,110100,인문과학 연구원,1
1,연구·공학기술,11,110,110200,사회과학 연구원,1
1,연구·공학기술,12,121,121100,자연과학 연구원,
1,연구·공학기술,12,121,121200,자연과학 시험원,1
1,연구·공학기술,12,122,122101,생명과학 연구원,
1,연구·공학기술,12,122,122102,농어업 연구원 및 기술자,
1,연구·공학기술,12,122,122103,임업 및 산림 연구원 및 기술자,
1,연구·공학기술,12,122,122200,생명과학 시험원,
1,연구·공학기술,12,122,122300,농림어업 관련 시험원,
1,연구·공학기술,13,131,131100,컴퓨터 하드웨어 기술자 및 연구원,
