직종코드,직종명,대분류코드,대분류명,중분류코드,소분류코드,세분류코드,work24_13대분류코드,work24_13대분류명,work24_114중분류코드,work24_114중분류명,부모중복
026200,영업 및 마케팅 사무원,0,경영·사무·금융·보험,02,026,0262,01,경영·사무·금융·보험,017,경영지원 사무,N
026201,마케팅·광고·홍보·상품기획 사무원,0,경영·사무·금융·보험,02,026,0262,01,경영·사무·금융·보험,017,경영지원 사무,N
026202,영업 기획·관리·지원 사무원,0,경영·사무·금융·보험,02,026,0262,01,경영·사무·금융·보험,017,경영지원 사무,N
026203,분양·임대 사무원,0,경영·사무·금융·보험,02,026,0262,01,경영·사무·금융·보험,017,경영지원 사무,N
026300,인사 및 노무 사무원,0,경영·사무·금융·보험,02,026,0263,01,경영·사무·금융·보험,017,경영지원 사무,N
026301,인사 사무원,0,경영·사무·금융·보험,02,026,0263,01,경영·사무·금융·보험,017,경영지원 사무,N
026302,노무 사무원,0,경영·사무·금융·보험,02,026,0263,01,경영·사무·금융·보험,017,경영지원 사무,N
026400,교육 및 훈련 사무원,0,경영·사무·금융·보험,02,026,0264,01,경영·사무·금융·보험,017,경영지원 사무,N
026500,총무 사무원 및 대학 행정조교,0,경영·사무·금융·보험,02,026,0265,01,경영·사무·금융·보험,017,경영지원 사무,N
026501,총무 및 일반 사무원,0,경영·사무·금융·보험,02,026,0265,01,경영·사무·금융·보험,016,정부 행정 사무,Y
026502,병원행정 사무원(원무),0,경영·사무·금융·보험,02,026,0265,01,경영·사무·금융·보험,017,경영지원 사무,Y
026503,학교행정 사무원(교무),0,경영·사무·금융·보험,02,026,0265,01,경영·사무·금융·보험,017,경영지원 사무,N
026504,대학 행정조교,0,경영·사무·금융·보험,02,026,0265,01,경영·사무·금융·보험,017,경영지원 사무,N
026505,협회·회원단체 사무원,0,경영·사무·금융·보험,02,026,0265,01,경영·사무·금융·보험,017,경영지원 사무,N
026506,기숙사사감 및 독서실·고시원 총무,0,경영·사무·금융·보험,02,026,0265,01,경영·사무·금융·보험,017,경영지원 사무,N
026600,감사 사무원,0,경영·사무·금융·보험,02,026,0266,01,경영·사무·금융·보험,017,경영지원 사무,N
027100,회계 사무원,0,경영·사무·금융·보험,02,027,0271,01,경영·사무·금융·보험,018,회계·경리 사무,N
027101,재무 사무원,0,경영·사무·금융·보험,02,027,0271,01,경영·사무·금융·보험,018,회계·경리 사무,N
027102,회계 사무원(회계·세무 사무소),0,경영·사무·금융·보험,02,027,0271,01,경영·사무·금융·보험,018,회계·경리 사무,N
027103,회계 사무원(일반 사업체),0,경영·사무·금융·보험,02,027,0271,01,경영·사무·금융·보험,018,회계·경리 사무,N
027200,경리 사무원,0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027201,경리 사무원(무역),0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027202,경리 사무원(운수),0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027203,경리 사무원(건설),0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027204,경리 사무원(제조),0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027205,경리 사무원(회계·세무 사무소),0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027206,경리 사무원(일반사업체),0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027207,경리 사무원(아파트·빌딩),0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
027208,단순 경리 사무원,0,경영·사무·금융·보험,02,027,0272,01,경영·사무·금융·보험,018,회계·경리 사무,N
028100,무역 사무원,0,경영·사무·금융·보험,02,028,0281,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028101,무역 사무원(영어),0,경영·사무·금융·보험,02,028,0281,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028102,무역 사무원(중국어),0,경영·사무·금융·보험,02,028,0281,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028103,무역 사무원(일본어),0,경영·사무·금융·보험,02,028,0281,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028104,무역 사무원(기타 언어),0,경영·사무·금융·보험,02,028,0281,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028105,관세 사무원,0,경영·사무·금융·보험,02,028,0281,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028106,FTA 관리 사무원,0,경영·사무·금융·보험,02,028,0281,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028200,도로 및 철도운송 사무원,0,경영·사무·금융·보험,02,028,0282,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028201,도로 운송 사무원(배차사무 포함),0,경영·사무·금융·보험,02,028,0282,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,Y
028202,철도·지하철 운송 사무원,0,경영·사무·금융·보험,02,028,0282,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,Y
028300,수상 및 항공운송 사무원,0,경영·사무·금융·보험,02,028,0283,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028301,항공 운송 사무원,0,경영·사무·금융·보험,02,028,0283,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,Y
028302,수상 운송 사무원(해상 운송),0,경영·사무·금융·보험,02,028,0283,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,Y
028400,자재관리 사무원,0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028401,자재·구매 사무원(건설),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028402,자재·구매 사무원(기계·자동차·금속),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028403,자재·구매 사무원(화학·섬유·의류),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028404,자재·구매 사무원(전기·전자·컴퓨터),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028405,자재·구매 사무원(음식료품),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028406,자재·구매 사무원(일반 사업체),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028407,창고 관리원(자재 검수원 포함),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028408,물류 사무원(물류 관리사),0,경영·사무·금융·보험,02,028,0284,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028500,생산 및 품질관리 사무원,0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028501,생산관리 사무원(건설),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028502,생산관리 사무원(기계·자동차·금속),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028503,생산관리 사무원(화학·섬유·의료),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028504,생산관리 사무원(전기·전자·컴퓨터),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028505,생산관리 사무원(음식료품),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028506,생산관리 사무원(그 외 분야),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028507,품질관리 사무원(건설),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028508,품질관리 사무원(기계·자동차·금속),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028509,품질관리 사무원(화학·섬유·의료),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028510,품질관리 사무원(전기·전자·컴퓨터),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028511,품질관리 사무원(음식료품),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028512,품질관리 사무원(그 외 분야),0,경영·사무·금융·보험,02,028,0285,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
028900,기타 운송 및 무역 사무원,0,경영·사무·금융·보험,02,028,0289,01,경영·사무·금융·보험,019,무역·운송·자재·구매·생산·품질 사무,N
029100,안내·접수원 및 전화교환원,0,경영·사무·금융·보험,02,029,0291,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029101,"일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)",0,경영·사무·금융·보험,02,029,0291,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029102,예약·접수 사무원(A/S·고장·가입·신규발급·이전),0,경영·사무·금융·보험,02,029,0291,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029103,호텔·콘도·숙박시설 프론트 사무원,0,경영·사무·금융·보험,02,029,0291,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,Y
029104,데스크 안내원,0,경영·사무·금융·보험,02,029,0291,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029105,방송 안내원,0,경영·사무·금융·보험,02,029,0291,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029200,고객 상담 및 모니터 요원,0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029201,콜센터 매니저,0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029202,콜센터 상담원(콜센터·고객센터·CS센터),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,Y
029203,고객 상담원(학원·학습지·유학·이민),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029204,고객 상담원(금융·보험·부동산),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029205,고객 상담원(스포츠·예식·항공·여행·숙박·오락),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
029206,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),0,경영·사무·금융·보험,02,029,0292,01,경영·사무·금융·보험,01A,안내·접수·고객상담 사무,N
