jobsCd,jobsNm,superCd,depth
029211,모니터 요원,01A,3
029212,취업 알선원,01A,3
029213,부동산 중개 보조 사무원,01A,3
01B,통계·비서·사무보조·기타 사무,01,2
021200,행정사,01B,3
029300,통계‧데이터 관련 사무원,01B,3
029301,통계 사무원,01B,3
029302,통계·설문 조사원(슈퍼바이저 포함),01B,3
029400,비서,01B,3
029500,전산 자료 입력원,01B,3
029501,전산자료 입력원(DB·단순자료),01B,3
029502,전산자료 입력원(약국·판매·대리점),01B,3
029503,홈페이지 자료관리원(정보검색 포함),01B,3
029504,HTML 코더,01B,3
029600,속기사,01B,3
029700,자원봉사 관리원,01B,3
029900,기타 사무 지원 종사원,01B,3
029901,도서 정리원,01B,3
029902,출판·자료 편집 사무원,01B,3
029903,사무 보조원(공공기관),01B,3
029904,사무 보조원(일반사업체),01B,3
136101,정보시스템 운영자,01B,3
231400,직업 관련 상담사,01B,3
614000,텔레마케터,01B,3
01C,금융·보험 전문가,01,2
031100,투자 및 신용 분석가(애널리스트),01C,3
031200,자산 운용가(펀드매니저),01C,3
031300,금융 및 보험 상품 개발자,01C,3
031400,증권 및 외환 딜러,01C,3
031500,손해 사정사,01C,3
031900,"기타 금융 및 보험 관련 전문가(금융 컨설턴트, PB 등)",01C,3
01D,금융·보험 사무 및 영업,01,2
032100,은행 사무원(출납창구 제외),01D,3
032200,증권 사무원(출납창구 제외),01D,3
032300,보험 심사원 및 사무원,01D,3
032400,출납 창구 사무원,01D,3
032401,출납창구 사무원(은행·농협·수협·축협),01D,3
032402,출납창구 사무원(우체국·새마을금고),01D,3
032403,출납창구 사무원(증권 및 기타 금융기관),01D,3
032500,수금원 및 신용 추심원,01D,3
032501,수금원,01D,3
032502,신용 추심원(채권 관리원),01D,3
032503,연체 안내원(체납 고지원),01D,3
032900,"기타 금융 사무원(카드사·신협·새마을금고·할부사, 우체국(금융부문) 등)",01D,3
033100,대출 및 신용카드 모집인,01D,3
033200,보험 모집인 및 투자 권유 대행인,01D,3
033201,보험 대리인 및 중개인,01D,3
033203,투자 권유 대행인,01D,3
02,연구 및 공학기술,,1
021,인문·사회·자연·생명과학 연구 및 시험,02,2
110100,인문과학 연구원,021,3
110200,사회과학 연구원,021,3
121100,자연과학 연구원,021,3
121200,자연과학 시험원,021,3
122101,생명과학 연구원,021,3
122102,농어업 연구원 및 기술자,021,3
122103,임업 및 산림 연구원 및 기술자,021,3
122200,생명과학 시험원,021,3
122300,농림어업 관련 시험원,021,3
215200,대학 교육 조교(연구 조교 포함),021,3
022,컴퓨터하드웨어·통신공학,02,2
131100,컴퓨터 하드웨어 기술자 및 연구원,022,3
131200,통신공학 기술자 및 연구원,022,3
131201,통신기기·장비 개발자 및 연구원,022,3
131202,통신기술 개발자 및 통신망 운영 기술자,022,3
131203,통신공사 감리 기술자,022,3
023,컴퓨터시스템,02,2
132000,컴퓨터시스템 전문가,023,3
