사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력,급여,지역표기,출처
잡코리아부산,비엔케이캐피탈㈜,[BNK캐피탈] 중고승용 영업전문 직원 채용,"캐피탈, 여신상담, 거래처관리, 고객관리",경력1년↑,계약직,부산,,2026-09-18,https://www.jobkorea.co.kr/Recruit/GI_Read/49613379?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49613379,2026-09-08 14:58:37,학력무관,,부산 부산진구,jobkorea
잡코리아부산,㈜삼천리ENG[SL&C사업부],[정규직/대기업계열사] 한식`서리재 신세계센텀시티점` 홀(경력우대),"한식당, 중식, 호텔, 고객안내, 한식, 호텔, 서빙, 매출관리, 양식, 한식, 고객응대, 음식료, 양식, 캐셔, 카운터, 서빙",경력1년↑,정규직,부산,,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49576886?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49576886,2026-09-08 14:58:37,학력무관,,부산 해운대구 외,jobkorea
잡코리아부산,윈저글로벌㈜,[윈저글로벌] 부산 지역 프리미엄 위스키 영업직 채용 (계약직 / 자차필수),"소비재, 주류영업",경력무관,계약직,부산,,2026-10-03,https://www.jobkorea.co.kr/Recruit/GI_Read/49710938?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49710938,2026-09-08 14:58:37,초대졸↑,"3,360만원 이상",부산 해운대구,jobkorea
잡코리아부산,쿠팡로지스틱스서비스,[부산/ 경력무관]쿠팡CLS 지게차(입출고 오퍼레이터)전국 채용,"입출고관리, 중장비운전, 물류관리, 배송, 지게차운전, 화물차운전, 물류",신입·경력,계약직,"경기, 부산, 울산",,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49693494?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49693494,2026-09-08 14:58:37,학력무관,,부산 기장군 외,jobkorea
잡코리아부산,쿠팡로지스틱스서비스,[부산/ 경력무관]쿠팡CLS 지게차(입출고 오퍼레이터)전국 채용,"입출고관리, 중장비운전, 물류관리, 배송, 지게차운전, 화물차운전, 물류",신입·경력,계약직,"경기, 부산",,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49693490?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49693490,2026-09-08 14:58:37,학력무관,,부산 기장군 외,jobkorea
잡코리아부산,엠즈씨드㈜,[폴 바셋] 정규직 바리스타 모집 [서울/경기/부산/제주],"한식당, 고객안내, 품질보증, 검증, 고객안내, 음료제조, 샵마스터, 매출관리, 고객응대, 구내식당, 단체급식, 음식료, 도시락·반찬, 판매관리, 식품판매, 진열관리, 고객응대, 재고관리, 캐셔, 판매영업, 카운터",신입·경력,정규직,"서울, 경기, 부산, 제주",,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49612325?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49612325,2026-09-08 14:58:37,학력무관,,부산 기장군 외,jobkorea
잡코리아부산,엑시스아이티㈜,[고려아연계열/엑시스아이티] 소프트웨어 개발 및 유지보수 담당 인턴 채용,"SM, 인터페이스, JavaScript, SI개발, 솔루션, SI, 서버관리, 어플리케이션개발, SI개발, web, ERP, 소프트웨어개발자, ERP, SAP, 프론트엔드개발자, Application, 클라이언트, 소프트웨어개발, API, Mobile",신입,인턴,"부산, 울산",,2026-10-02,https://www.jobkorea.co.kr/Recruit/GI_Read/49707822?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49707822,2026-09-08 14:58:37,대졸↑,,부산 전지역 외,jobkorea
잡코리아부산,엠즈씨드㈜,[폴 바셋] 신규 오픈매장 바리스타 모집 (서울/경기/부산),"음료제조, 음식료, 커피숍, 프랜차이즈, 카운터, 고객응대, 매출관리, 샵마스터, 식품판매, 재고관리, 진열관리, 캐셔, 판매관리, 판매영업, 고객안내",신입·경력,정규직,"서울, 경기, 부산",,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49612305?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49612305,2026-09-08 14:58:37,학력무관,,부산 동구 외,jobkorea
잡코리아부산,㈜샤프에비에이션케이,김해국제공항 항공기 지상조업사 신입 및 경력사원 모집,"항공운송, 항공운송",신입·경력,정규직,부산,,2026-09-29,https://www.jobkorea.co.kr/Recruit/GI_Read/49694093?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49694093,2026-09-08 14:58:37,고졸↑,"2,860만원 이상",부산 강서구,jobkorea
잡코리아부산,버버리코리아㈜,[BURBERRY] 세일즈 직원 채용 - 전국,"고객관리, 상품입출고, 고객안내, 거래처관리, 남성의류, 재고관리, 패션, 영업기획, 의류판매, 재고관리, 고객안내, 샵마스터, 프로모터, 영업전략, 가맹점관리, 매출관리, 거래선개발관리, 매출관리, 여성의류, 대리점관리, 의류, 판매관리, 데이터분석, 진열관리, 고객응대, 유아의류, 자재구매, 캐셔, 외자구매, 고객응대, 방문판매, 판매영업, 국내영업",경력무관,정규직,"서울, 경기, 인천, 대전, 전남광주, 대구, 부산, 전국",,상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/49732215?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49732215,2026-09-08 14:58:37,고졸↑,,부산,jobkorea
