사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각
게임잡,에이블게임즈,3D 배경 레벨러 채용(경력 7년 이상),모바일게임,경력 7년 이상,정규직,서울 > 강남구,"3D, 배경, 맵핑, 모델링, 3DSmax, Zbrush  3D, 배경, 맵핑, 모델링, 3DSmax, Zbrush",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282431,,2026-09-07 17:58:15
게임잡,시프트업,[시프트업] 승리의 여신 니케 / 전투 기획 / 전투 밸런스 기획,게임기획,경력무관,정규직,서울 > 강남구 서울,"모바일, 게임기획, 서버, 시스템, 전투, FPS, 전투기획, TPS, 시프트업, NIKKE, 승리의여신니케  모바일, 게임기획, 서버, 시스템, 전투, FPS, 전투기획, TPS, 시프트업, NIKKE, 승리의여신",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282468,,2026-09-07 17:58:15
게임잡,에이블게임즈,3D 배경 모델러 채용(경력 7년 이상),모바일게임,경력 7년 이상,정규직,서울 > 강남구,"3D, 배경, 맵핑, 모델링, 3DSmax, Zbrush, Maya, Max, blender  3D, 배경, 맵핑, 모델링, 3DSmax, Zbrush, Maya, Max, blender",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282469,,2026-09-07 17:58:16
게임잡,슈퍼센트,클라이언트 개발자(5년 이상),"게임개발(클라이언트), 게임개발(모바일), 게임기획, 엔진",경력 5년 이상,정규직,서울 > 송파구,"클라이언트, C, 모바일, 3D, iOS, Android, 게임기획, C#, 엔진, Unity, 유니티, 유니티3D, 게임프로그래밍, 게임프로그래머, RPG, 서드파티툴  클라이언트, C, 모바일, 3D, iOS, ",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282501,,2026-09-07 17:58:16
게임잡,에이블게임즈,[메이플키우기] 게임 QA 채용,모바일게임,경력무관,정규직,서울 > 강남구,"QA, QC, 게임테스터  QA, QC, 게임테스터",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282601,,2026-09-07 17:58:17
게임잡,컴투스,[컴투스] 웹 디자이너 (육아휴직 대체/계약직/2년 이상),모바일게임,경력 2년 이상,계약직 (6개월),서울 > 금천구,"일러스트, 포토샵, 웹디자인, 일러스트레이터, 웹UI, HTML, ux, ui, 광고마케팅디자인  일러스트, 포토샵, 웹디자인, 일러스트레이터, 웹UI, HTML, ux, ui, 광고마케팅디자인",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282619,,2026-09-07 17:58:17
게임잡,네오플,[던파클래식] 게임 시나리오 기획자 (근무지 서울지사),게임기획,경력무관,정규직,서울 > 강남구 복리후생,"게임기획, 시나리오, 퀘스트, 던전앤파이터, 던파  게임기획, 시나리오, 퀘스트, 던전앤파이터, 던파",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282737,,2026-09-07 17:58:18
게임잡,팀42,[마피아42] 데이터 엔지니어,"시스템·DB, 정보·빅데이터 분석",경력 3년 이상,정규직,서울 > 마포구,"Python, Java, MySQL, SQL, AWS, Tableau, 데이터엔지니어, zeppelin, Kotlin  Python, Java, MySQL, SQL, AWS, Tableau, 데이터엔지니어, zepp",09-15,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282756,,2026-09-07 17:58:18
게임잡,위메이드커넥트,[위메이드커넥트] 서브컬쳐 게임 사업PM 채용,"사업기획(국내), 사업기획(해외), 사업관리",경력 5년 이상,정규직,경기 > 성남시 분당구,"모바일, 사업PM, RPG, 해외사업, 게임사업  모바일, 사업PM, RPG, 해외사업, 게임사업",채용시,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282798,,2026-09-07 17:58:19
게임잡,매드엔진,[NX 스튜디오] [Project TAL] 밸런스 디자이너 채용 (경력),"게임개발(모바일), 게임기획",경력 2년 이상,정규직,경기 > 성남시 분당구,"UX·UI, 레벨, 게임기획, 시나리오, 밸런스기획, 레벨기획, 액션RPG, 전투시스템설계, 전투밸런스, 콘솔RPG  UX·UI, 레벨, 게임기획, 시나리오, 밸런스기획, 레벨기획, 액션RPG, 전투시스템설계, 전투",09-30,https://www.gamejob.co.kr/Recruit/GI_Read/View?GI_No=282852,,2026-09-07 17:58:19
