토큰,직종코드,직종명,직종분류코드,직종분류명,출처,순도,건수,근거
생산,,,10,설치·정비·생산직,학습,71%,268,정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
가공,,,10,설치·정비·생산직,학습,86%,214,정답 214건 중 183건이 10 설치·정비·생산직 — 세세분류는 흩어진다
기계,,,10,설치·정비·생산직,학습,59%,210,정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
제조,,,10,설치·정비·생산직,학습,62%,197,정답 197건 중 122건이 10 설치·정비·생산직 — 세세분류는 흩어진다
청소,,,06,미용·여행·숙박·음식·경비·청소직,학습,85%,165,정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
사무,,,01,경영·사무·금융·보험직,학습,82%,165,정답 165건 중 136건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
포장,,,10,설치·정비·생산직,학습,80%,142,정답 142건 중 114건이 10 설치·정비·생산직 — 세세분류는 흩어진다
조리,,,06,미용·여행·숙박·음식·경비·청소직,학습,94%,127,정답 127건 중 119건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
조립,,,10,설치·정비·생산직,학습,87%,110,정답 110건 중 96건이 10 설치·정비·생산직 — 세세분류는 흩어진다
제작,,,10,설치·정비·생산직,학습,62%,104,정답 104건 중 65건이 10 설치·정비·생산직 — 세세분류는 흩어진다
설계,,,02,연구직 및 공학기술직,학습,77%,86,정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
용접,,,10,설치·정비·생산직,학습,87%,75,정답 75건 중 65건이 10 설치·정비·생산직 — 세세분류는 흩어진다
설비,,,10,설치·정비·생산직,학습,54%,67,정답 67건 중 36건이 10 설치·정비·생산직 — 세세분류는 흩어진다
교사,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,61%,67,정답 67건 중 41건이 232100 보육교사
조리사,,,06,미용·여행·숙박·음식·경비·청소직,학습,97%,67,정답 67건 중 65건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
선박,,,10,설치·정비·생산직,학습,54%,65,정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
도면,,,02,연구직 및 공학기술직,학습,52%,61,정답 61건 중 32건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
회계,,,01,경영·사무·금융·보험직,학습,95%,59,정답 59건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
돌봄,,,06,미용·여행·숙박·음식·경비·청소직,학습,70%,57,정답 57건 중 40건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
경리,,,01,경영·사무·금융·보험직,학습,98%,57,정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
조선,,,10,설치·정비·생산직,학습,54%,54,정답 54건 중 29건이 10 설치·정비·생산직 — 세세분류는 흩어진다
품질관리,,,01,경영·사무·금융·보험직,학습,75%,52,정답 52건 중 39건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
위생,,,06,미용·여행·숙박·음식·경비·청소직,학습,56%,50,정답 50건 중 28건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
세무,027102,회계 사무원(회계·세무 사무소),01,경영·사무·금융·보험직,학습,74%,42,정답 42건 중 31건이 027102 회계 사무원(회계·세무 사무소)
생산관리,,,01,경영·사무·금융·보험직,학습,83%,41,정답 41건 중 34건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
시공,,,02,연구직 및 공학기술직,학습,62%,40,정답 40건 중 25건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
물류,,,01,경영·사무·금융·보험직,학습,62%,39,정답 39건 중 24건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
금형,,,10,설치·정비·생산직,학습,81%,37,정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
건축,,,02,연구직 및 공학기술직,학습,50%,36,정답 36건 중 18건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
간호,,,04,보건·의료직,학습,79%,34,정답 34건 중 27건이 04 보건·의료직 — 세세분류는 흩어진다
소방,,,02,연구직 및 공학기술직,학습,61%,33,정답 33건 중 20건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
설치,,,10,설치·정비·생산직,학습,55%,33,정답 33건 중 18건이 10 설치·정비·생산직 — 세세분류는 흩어진다
권선공,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,학습,100%,29,정답 29건 중 29건이 890000 기타 제조 관련 단순 종사원
노인복지시설,231101,사회복지사(사회복지시설),03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,29,정답 29건 중 29건이 231101 사회복지사(사회복지시설)
장애인복지시설등,231101,사회복지사(사회복지시설),03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,29,정답 29건 중 29건이 231101 사회복지사(사회복지시설)
회계사무원(회계사무소),027102,회계 사무원(회계·세무 사무소),01,경영·사무·금융·보험직,학습,100%,29,정답 29건 중 29건이 027102 회계 사무원(회계·세무 사무소)
기자,,,10,설치·정비·생산직,학습,50%,28,정답 28건 중 14건이 10 설치·정비·생산직 — 세세분류는 흩어진다
총무,,,01,경영·사무·금융·보험직,학습,96%,27,정답 27건 중 26건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
배관,,,10,설치·정비·생산직,학습,58%,26,정답 26건 중 15건이 10 설치·정비·생산직 — 세세분류는 흩어진다
보육,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,73%,26,정답 26건 중 19건이 232100 보육교사
구매,,,01,경영·사무·금융·보험직,학습,92%,26,정답 26건 중 24건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
사회복지,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,71%,24,정답 24건 중 17건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
채용담당,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,62%,24,정답 24건 중 15건이 550102 재가 요양보호사
채용담당자,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,62%,24,정답 24건 중 15건이 550102 재가 요양보호사
도장,,,10,설치·정비·생산직,학습,67%,24,정답 24건 중 16건이 10 설치·정비·생산직 — 세세분류는 흩어진다
세척,,,06,미용·여행·숙박·음식·경비·청소직,학습,67%,24,정답 24건 중 16건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
수리,,,10,설치·정비·생산직,학습,58%,24,정답 24건 중 14건이 10 설치·정비·생산직 — 세세분류는 흩어진다
연구,,,02,연구직 및 공학기술직,학습,50%,24,정답 24건 중 12건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
토목,,,02,연구직 및 공학기술직,학습,88%,24,정답 24건 중 21건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
입고,,,01,경영·사무·금융·보험직,학습,57%,23,정답 23건 중 13건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
식품분야단순노무자,890006,식품 분야 단순 종사원,10,설치·정비·생산직,학습,100%,23,정답 23건 중 23건이 890006 식품 분야 단순 종사원
재단,,,10,설치·정비·생산직,학습,57%,23,정답 23건 중 13건이 10 설치·정비·생산직 — 세세분류는 흩어진다
3d,,,02,연구직 및 공학기술직,학습,74%,23,정답 23건 중 17건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
어린이집교사,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,21,정답 21건 중 21건이 232100 보육교사
장애인활동지원사,232903,장애인 생활지도원(장애인활동보조원 포함),03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,21,정답 21건 중 21건이 232903 장애인 생활지도원(장애인활동보조원 포함)
방문요양보호사,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,90%,21,정답 21건 중 19건이 550102 재가 요양보호사
담임교사,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,85%,20,정답 20건 중 17건이 232100 보육교사
강사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,75%,20,정답 20건 중 15건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
호텔,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",06,미용·여행·숙박·음식·경비·청소직,학습,63%,19,"정답 19건 중 12건이 561102 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)"
영업관리,026202,영업 기획·관리·지원 사무원,01,경영·사무·금융·보험직,학습,72%,18,정답 18건 중 13건이 026202 영업 기획·관리·지원 사무원
cnclath가공원,813201,CNC 선반 조작원(NC 선반 조작원),10,설치·정비·생산직,학습,100%,18,정답 18건 중 18건이 813201 CNC 선반 조작원(NC 선반 조작원)
조리보조,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,17,정답 17건 중 17건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
자재관리,,,01,경영·사무·금융·보험직,학습,75%,16,정답 16건 중 12건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
경비,,,06,미용·여행·숙박·음식·경비·청소직,학습,69%,16,정답 16건 중 11건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
재가노인요양사,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,100%,16,정답 16건 중 16건이 550102 재가 요양보호사
사무보조,,,01,경영·사무·금융·보험직,학습,81%,16,정답 16건 중 13건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
인사,,,01,경영·사무·금융·보험직,학습,81%,16,정답 16건 중 13건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
문서작성,,,01,경영·사무·금융·보험직,학습,60%,15,정답 15건 중 9건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
어린이집센터장,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,15,정답 15건 중 15건이 232100 보육교사
용접사,,,10,설치·정비·생산직,학습,93%,15,정답 15건 중 14건이 10 설치·정비·생산직 — 세세분류는 흩어진다
상담사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,87%,15,정답 15건 중 13건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
객실,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",06,미용·여행·숙박·음식·경비·청소직,학습,93%,15,"정답 15건 중 14건이 561102 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)"
경비원,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,14,정답 14건 중 14건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
세탁,,,06,미용·여행·숙박·음식·경비·청소직,학습,86%,14,정답 14건 중 12건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
기계분야단순노무자,890001,기계·금속 분야 단순 종사원,10,설치·정비·생산직,학습,100%,14,정답 14건 중 14건이 890001 기계·금속 분야 단순 종사원
cnc터닝선반조작원,813201,CNC 선반 조작원(NC 선반 조작원),10,설치·정비·생산직,학습,100%,14,정답 14건 중 14건이 813201 CNC 선반 조작원(NC 선반 조작원)
홍보,,,01,경영·사무·금융·보험직,학습,50%,14,정답 14건 중 7건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
시험,,,10,설치·정비·생산직,학습,50%,14,정답 14건 중 7건이 10 설치·정비·생산직 — 세세분류는 흩어진다
cnc선반기능원,813201,CNC 선반 조작원(NC 선반 조작원),10,설치·정비·생산직,학습,100%,13,정답 13건 중 13건이 813201 CNC 선반 조작원(NC 선반 조작원)
머시닝센터,813210,머시닝센터(MCT) 조작원,10,설치·정비·생산직,학습,92%,12,정답 12건 중 11건이 813210 머시닝센터(MCT) 조작원
마케팅,,,01,경영·사무·금융·보험직,학습,83%,12,정답 12건 중 10건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
전기공,,,02,연구직 및 공학기술직,학습,92%,12,정답 12건 중 11건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
조리원,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,12,정답 12건 중 12건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
총무사무원,026501,총무 및 일반 사무원,01,경영·사무·금융·보험직,학습,100%,12,정답 12건 중 12건이 026501 총무 및 일반 사무원
디자이너,,,05,예술·디자인·방송·스포츠직,학습,92%,12,정답 12건 중 11건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
기계제도사,159103,기계·금속 제도사(캐드원),02,연구직 및 공학기술직,학습,100%,11,정답 11건 중 11건이 159103 기계·금속 제도사(캐드원)
경영,,,01,경영·사무·금융·보험직,학습,91%,11,정답 11건 중 10건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
경영지원,,,01,경영·사무·금융·보험직,학습,91%,11,정답 11건 중 10건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
요양보호,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,70%,10,정답 10건 중 7건이 550102 재가 요양보호사
시설요양보호사,550101,요양보호사(노인요양사),06,미용·여행·숙박·음식·경비·청소직,학습,90%,10,정답 10건 중 9건이 550101 요양보호사(노인요양사)
기술영업,,,07,영업·판매직,학습,60%,10,정답 10건 중 6건이 07 영업·판매직 — 세세분류는 흩어진다
생산직원,,,10,설치·정비·생산직,학습,78%,9,정답 9건 중 7건이 10 설치·정비·생산직 — 세세분류는 흩어진다
공정관리기술자,028500,생산 및 품질관리 사무원,01,경영·사무·금융·보험직,학습,100%,9,정답 9건 중 9건이 028500 생산 및 품질관리 사무원
물리치료,306501,물리치료사,04,보건·의료직,학습,67%,9,정답 9건 중 6건이 306501 물리치료사
전기기사,,,02,연구직 및 공학기술직,학습,56%,9,정답 9건 중 5건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
요리,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,9,정답 9건 중 9건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
지게차운전,623004,지게차 운전원,08,운전·운송직,학습,67%,9,정답 9건 중 6건이 623004 지게차 운전원
축산,,,10,설치·정비·생산직,학습,67%,9,정답 9건 중 6건이 10 설치·정비·생산직 — 세세분류는 흩어진다
직업상담사,231400,직업 관련 상담사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,89%,9,정답 9건 중 8건이 231400 직업 관련 상담사
주간보호센터요양보호사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,9,정답 9건 중 9건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
급식조리,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,9,정답 9건 중 9건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
단순조립원,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,학습,100%,8,정답 8건 중 8건이 890000 기타 제조 관련 단순 종사원
해외영업,,,07,영업·판매직,학습,62%,8,정답 8건 중 5건이 07 영업·판매직 — 세세분류는 흩어진다
아파트미화원,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",06,미용·여행·숙박·음식·경비·청소직,학습,62%,8,"정답 8건 중 5건이 561101 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
감사,,,01,경영·사무·금융·보험직,학습,75%,8,정답 8건 중 6건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
어업,,,11,농림어업직,학습,50%,8,정답 8건 중 4건이 11 농림어업직 — 세세분류는 흩어진다
감리,,,02,연구직 및 공학기술직,학습,62%,8,정답 8건 중 5건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
erp,,,01,경영·사무·금융·보험직,학습,100%,8,정답 8건 중 8건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
무역,,,01,경영·사무·금융·보험직,학습,62%,8,정답 8건 중 5건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
영업기획사무원,026202,영업 기획·관리·지원 사무원,01,경영·사무·금융·보험직,학습,100%,8,정답 8건 중 8건이 026202 영업 기획·관리·지원 사무원
영업사원,,,07,영업·판매직,학습,75%,8,정답 8건 중 6건이 07 영업·판매직 — 세세분류는 흩어진다
연구원,,,02,연구직 및 공학기술직,학습,86%,7,정답 7건 중 6건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
금속관련품질관리사무원,028508,품질관리 사무원(기계·자동차·금속),01,경영·사무·금융·보험직,학습,100%,7,정답 7건 중 7건이 028508 품질관리 사무원(기계·자동차·금속)
공조,,,02,연구직 및 공학기술직,학습,57%,7,정답 7건 중 4건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
청소등,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,7,정답 7건 중 7건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
세무사무소,027102,회계 사무원(회계·세무 사무소),01,경영·사무·금융·보험직,학습,71%,7,정답 7건 중 5건이 027102 회계 사무원(회계·세무 사무소)
경리장부정리원,027200,경리 사무원,01,경영·사무·금융·보험직,학습,100%,7,정답 7건 중 7건이 027200 경리 사무원
호텔청소원,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",06,미용·여행·숙박·음식·경비·청소직,학습,100%,7,"정답 7건 중 7건이 561102 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)"
플랜트,,,02,연구직 및 공학기술직,학습,57%,7,정답 7건 중 4건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
연구개발,,,02,연구직 및 공학기술직,학습,57%,7,정답 7건 중 4건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
머시닝가공원,813210,머시닝센터(MCT) 조작원,10,설치·정비·생산직,학습,100%,7,정답 7건 중 7건이 813210 머시닝센터(MCT) 조작원
일러스트,,,05,예술·디자인·방송·스포츠직,학습,57%,7,정답 7건 중 4건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
배달,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,6,정답 6건 중 3건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
mct,813210,머시닝센터(MCT) 조작원,10,설치·정비·생산직,학습,83%,6,정답 6건 중 5건이 813210 머시닝센터(MCT) 조작원
현장직,,,10,설치·정비·생산직,학습,50%,6,정답 6건 중 3건이 10 설치·정비·생산직 — 세세분류는 흩어진다
자동차부분품조립원,817200,자동차 부품 조립원(검사원 포함),10,설치·정비·생산직,학습,100%,6,정답 6건 중 6건이 817200 자동차 부품 조립원(검사원 포함)
사무직원,,,01,경영·사무·금융·보험직,학습,100%,6,정답 6건 중 6건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
소방설비기술자,158102,소방시설·설비 시공 기술자,02,연구직 및 공학기술직,학습,100%,6,정답 6건 중 6건이 158102 소방시설·설비 시공 기술자
생산보조,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,학습,67%,6,정답 6건 중 4건이 890000 기타 제조 관련 단순 종사원
현장보조,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,학습,67%,6,정답 6건 중 4건이 890000 기타 제조 관련 단순 종사원
반장,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,6,정답 6건 중 3건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
범용선반기능원,813202,범용 선반 조작원,10,설치·정비·생산직,학습,100%,6,정답 6건 중 6건이 813202 범용 선반 조작원
지그마스타조작원,813210,머시닝센터(MCT) 조작원,10,설치·정비·생산직,학습,100%,6,정답 6건 중 6건이 813210 머시닝센터(MCT) 조작원
단순직,890000,기타 제조 관련 단순 종사원,10,설치·정비·생산직,학습,67%,6,정답 6건 중 4건이 890000 기타 제조 관련 단순 종사원
기계캐드원,159103,기계·금속 제도사(캐드원),02,연구직 및 공학기술직,학습,100%,6,정답 6건 중 6건이 159103 기계·금속 제도사(캐드원)
심리,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,83%,6,정답 6건 중 5건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
방과후,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,83%,6,정답 6건 중 5건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
(회사)구내식당조리사,531804,사업체 구내식당 급식 조리사,06,미용·여행·숙박·음식·경비·청소직,학습,100%,6,정답 6건 중 6건이 531804 사업체 구내식당 급식 조리사
3등급재가요양보호사,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,100%,6,정답 6건 중 6건이 550102 재가 요양보호사
운송,,,01,경영·사무·금융·보험직,학습,83%,6,정답 6건 중 5건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
공정관리,,,01,경영·사무·금융·보험직,학습,50%,6,정답 6건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
화학,,,10,설치·정비·생산직,학습,50%,6,정답 6건 중 3건이 10 설치·정비·생산직 — 세세분류는 흩어진다
그라인더조작원,813200,금속 공작기계 조작원,10,설치·정비·생산직,학습,100%,6,정답 6건 중 6건이 813200 금속 공작기계 조작원
요양보호사업무,550100,요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,83%,6,정답 6건 중 5건이 550100 요양보호사
생산직사원,,,10,설치·정비·생산직,학습,100%,6,정답 6건 중 6건이 10 설치·정비·생산직 — 세세분류는 흩어진다
급식실,,,06,미용·여행·숙박·음식·경비·청소직,학습,83%,6,정답 6건 중 5건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
품질검사,,,01,경영·사무·금융·보험직,학습,100%,5,정답 5건 중 5건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
생산라인,,,10,설치·정비·생산직,학습,60%,5,정답 5건 중 3건이 10 설치·정비·생산직 — 세세분류는 흩어진다
자금,,,01,경영·사무·금융·보험직,학습,100%,5,정답 5건 중 5건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
심사,,,01,경영·사무·금융·보험직,학습,80%,5,정답 5건 중 4건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
일반사무원,026501,총무 및 일반 사무원,01,경영·사무·금융·보험직,학습,100%,5,정답 5건 중 5건이 026501 총무 및 일반 사무원
설비기사,158102,소방시설·설비 시공 기술자,02,연구직 및 공학기술직,학습,100%,5,정답 5건 중 5건이 158102 소방시설·설비 시공 기술자
소방설비기사,158102,소방시설·설비 시공 기술자,02,연구직 및 공학기술직,학습,100%,5,정답 5건 중 5건이 158102 소방시설·설비 시공 기술자
전기공사현장관리자,153105,전기공사 기술자(전기견적 포함),02,연구직 및 공학기술직,학습,100%,5,정답 5건 중 5건이 153105 전기공사 기술자(전기견적 포함)
순찰,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,5,정답 5건 중 5건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
밀링기조작원,813200,금속 공작기계 조작원,10,설치·정비·생산직,학습,100%,5,정답 5건 중 5건이 813200 금속 공작기계 조작원
기계조립원,816100,일반기계 조립원,10,설치·정비·생산직,학습,100%,5,정답 5건 중 5건이 816100 일반기계 조립원
운영관리,,,01,경영·사무·금융·보험직,학습,60%,5,정답 5건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
문서수발원(일반사업체),029904,사무 보조원(일반사업체),01,경영·사무·금융·보험직,학습,100%,5,정답 5건 중 5건이 029904 사무 보조원(일반사업체)
문서수발원,029904,사무 보조원(일반사업체),01,경영·사무·금융·보험직,학습,100%,5,정답 5건 중 5건이 029904 사무 보조원(일반사업체)
조무사,307500,간호조무사,04,보건·의료직,학습,80%,5,정답 5건 중 4건이 307500 간호조무사
서빙,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,5,정답 5건 중 5건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
담임선생,232100,보육교사,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,5,정답 5건 중 5건이 232100 보육교사
세무기장원,027205,경리 사무원(회계·세무 사무소),01,경영·사무·금융·보험직,학습,100%,5,정답 5건 중 5건이 027205 경리 사무원(회계·세무 사무소)
광고,,,01,경영·사무·금융·보험직,학습,60%,5,정답 5건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
콘텐츠,,,01,경영·사무·금융·보험직,학습,60%,5,정답 5건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
어린이집급식조리사,531802,유치원·어린이집 급식 조리사,06,미용·여행·숙박·음식·경비·청소직,학습,100%,5,정답 5건 중 5건이 531802 유치원·어린이집 급식 조리사
빌딩전기기계관리원,834002,빌딩 전기관리원,10,설치·정비·생산직,학습,100%,5,정답 5건 중 5건이 834002 빌딩 전기관리원
물류센터,,,01,경영·사무·금융·보험직,학습,60%,5,정답 5건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
방문요양보호사모집합니다,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,100%,5,정답 5건 중 5건이 550102 재가 요양보호사
반도체,,,10,설치·정비·생산직,학습,60%,5,정답 5건 중 3건이 10 설치·정비·생산직 — 세세분류는 흩어진다
4등급재가요양보호사,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,75%,4,정답 4건 중 3건이 550102 재가 요양보호사
네트워크,,,13,정보통신관련직,학습,50%,4,정답 4건 중 2건이 13 정보통신관련직 — 세세분류는 흩어진다
유압프레스조작원,813207,프레스기 및 절단기 조작원,10,설치·정비·생산직,학습,100%,4,정답 4건 중 4건이 813207 프레스기 및 절단기 조작원
아파트경비원,542001,아파트·빌라 경비원,06,미용·여행·숙박·음식·경비·청소직,학습,100%,4,정답 4건 중 4건이 542001 아파트·빌라 경비원
생산관리직,,,01,경영·사무·금융·보험직,학습,75%,4,정답 4건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
주차관리원,564300,주차 관리원 및 안내원,06,미용·여행·숙박·음식·경비·청소직,학습,100%,4,정답 4건 중 4건이 564300 주차 관리원 및 안내원
식품육안선별원,890006,식품 분야 단순 종사원,10,설치·정비·생산직,학습,100%,4,정답 4건 중 4건이 890006 식품 분야 단순 종사원
건설관련관리자,016100,건설 및 광업 관련 관리자(부서장),01,경영·사무·금융·보험직,학습,100%,4,정답 4건 중 4건이 016100 건설 및 광업 관련 관리자(부서장)
기업행정사무원,026501,총무 및 일반 사무원,01,경영·사무·금융·보험직,학습,100%,4,정답 4건 중 4건이 026501 총무 및 일반 사무원
고무유압프레스기조작원,852103,고무 프레스기 조작원,12,재료·화학·섬유·가스·에너지·환경관련직,학습,100%,4,정답 4건 중 4건이 852103 고무 프레스기 조작원
