토큰,직종코드,직종명,직종분류코드,직종분류명,출처,순도,건수,근거
아드,550102,재가 요양보호사,06,미용·여행·숙박·음식·경비·청소직,학습,67%,3,정답 3건 중 2건이 550102 재가 요양보호사
현장업무,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
생산제조,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
식품가공,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
세무사무원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
장비,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
밀링,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
정밀가공,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
수신,,,09,건설·채굴직,학습,50%,2,정답 2건 중 1건이 09 건설·채굴직 — 세세분류는 흩어진다
가산사회복지사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
수산물염장원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
생산관리보조,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
3등급,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
보조교사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
교사보조,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
전기기계관리원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
건설업장부정리원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
육아휴직대체인력,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
경리사무원구합니다,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
음식료품관련품질관리원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
운전필수,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,50%,2,정답 2건 중 1건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
모형원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
단순경리,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
수영강사,,,05,예술·디자인·방송·스포츠직,학습,100%,2,정답 2건 중 2건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
전문소방업체공무보실분,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
전기분야,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
전기공사기사,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
용접사상원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
주간보호센터사무원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
생산관리경력직,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
cnc단순생산직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
코디네이터,,,06,미용·여행·숙박·음식·경비·청소직,학습,50%,2,정답 2건 중 1건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
연구직,,,02,연구직 및 공학기술직,학습,50%,2,정답 2건 중 1건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
철강,,,07,영업·판매직,학습,50%,2,정답 2건 중 1건이 07 영업·판매직 — 세세분류는 흩어진다
프라즈마,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
사상공,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
재가요양보호사선생님,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
재가요양보호사선생,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
고무제품사상원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
사진첨부,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
장애인재활상담사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
대기환경측정분석기술자,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
수작업가구제조원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
생선해체원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
조선기자재제조업,,,08,운전·운송직,학습,50%,2,정답 2건 중 1건이 08 운전·운송직 — 세세분류는 흩어진다
케어복지사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
미술치료사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
캐드가능자,,,02,연구직 및 공학기술직,학습,50%,2,정답 2건 중 1건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
여자요양보호사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
어린이집0,,,04,보건·의료직,학습,50%,2,정답 2건 중 1건이 04 보건·의료직 — 세세분류는 흩어진다
현장관리자,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
긴급,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
cnc선반,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
cnc선반사원모집합니다,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
생산직cnc,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
향신료제조원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
측량,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
cam,,,02,연구직 및 공학기술직,학습,50%,2,정답 2건 중 1건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
단순종사원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
관리사무원,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
여자어르신케어,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
초보가능,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
그라비아윤전기조작원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
